"","backdoor","frontdoor","iv","backdoor_true_functional","frontdoor_true_functional","iv_true_functional","b1","b2","f1","f2","f3","i1","i2","i3","i4","hypothesis","beta","sample_size","size","power"
"1","TRUE","TRUE","TRUE","0","0","0","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","N","0","1000","0",NA
"2","TRUE","FALSE","TRUE","0","1","0","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","N","0","1000","0",NA
"3","TRUE","TRUE","FALSE","0","0","0","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","N","0","1000","0",NA
"4","FALSE","TRUE","TRUE","1","0","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","N","0","1000","0",NA
"5","FALSE","TRUE","FALSE","1","0","1","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","N","0","1000","0.045",NA
"6","FALSE","TRUE","FALSE","0","0","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","N","0","1000","0",NA
"7","FALSE","FALSE","TRUE","0","1","0","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","N","0","1000","0",NA
"8","FALSE","FALSE","TRUE","1","1","0","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","N","0","1000","0.039",NA
"9","TRUE","FALSE","FALSE","0","1","0","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","N","0","1000","0.001",NA
"10","FALSE","TRUE","FALSE","1","1","1","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","A","10","1000",NA,"1"
"11","FALSE","TRUE","FALSE","1","1","1","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","A","10","1000",NA,"1"
"12","FALSE","FALSE","TRUE","1","1","1","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","A","10","1000",NA,"1"
"13","TRUE","FALSE","FALSE","1","1","1","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","A","10","1000",NA,"1"
"14","TRUE","FALSE","TRUE","1","1","1","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","A","10","1000",NA,"1"
"15","TRUE","TRUE","FALSE","1","1","1","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","A","10","1000",NA,"0.999"
"16","FALSE","TRUE","TRUE","1","1","1","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","A","10","1000",NA,"1"
"17","TRUE","TRUE","TRUE","1","1","1","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","A","10","1000",NA,"1"
"18","TRUE","FALSE","TRUE","1","0","1","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","A","10","1000",NA,"0.0620000000000001"
"19","FALSE","TRUE","TRUE","0","1","1","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","A","2","1000",NA,"0.003"
"20","TRUE","TRUE","FALSE","1","1","0","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","A","10","1000",NA,"0.0659999999999999"
"21","FALSE","FALSE","TRUE","1","0","1","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","A","10","1000",NA,"0.179"
"22","TRUE","FALSE","FALSE","1","0","1","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","A","10","1000",NA,"0.028"
"23","FALSE","TRUE","FALSE","1","1","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","A","5","1000",NA,"0.09"
