,backdoor,frontdoor,iv,backdoor_true_functional,frontdoor_true_functional,iv_true_functional,b1,b2,f1,f2,f3,i1,i2,i3,i4,hypothesis,beta,sample_size,size,power
1,TRUE,TRUE,TRUE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,0,500,0,NA
2,TRUE,FALSE,TRUE,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,N,0,500,0,NA
3,TRUE,TRUE,FALSE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,N,0,500,0,NA
4,FALSE,TRUE,TRUE,1,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,0,500,0,NA
5,FALSE,TRUE,FALSE,1,0,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,N,0,500,0.065,NA
6,FALSE,TRUE,FALSE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,N,0,500,0,NA
7,FALSE,FALSE,TRUE,0,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,N,0,500,0,NA
8,FALSE,FALSE,TRUE,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,N,0,500,0.028,NA
9,TRUE,FALSE,FALSE,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,N,0,500,0.001,NA
10,FALSE,TRUE,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,A,10,500,NA,1
11,FALSE,TRUE,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,A,10,500,NA,1
12,FALSE,FALSE,TRUE,1,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,A,10,500,NA,0.969
13,TRUE,FALSE,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,A,10,500,NA,0.929
14,TRUE,FALSE,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,A,10,500,NA,0.97
15,TRUE,TRUE,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,A,10,500,NA,0.941
16,FALSE,TRUE,TRUE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,A,10,500,NA,0.995
17,TRUE,TRUE,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,A,10,500,NA,0.997
18,TRUE,FALSE,TRUE,1,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,A,10,500,NA,0.075
19,FALSE,TRUE,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,A,2,500,NA,0
20,TRUE,TRUE,FALSE,1,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,A,10,500,NA,0.054
21,FALSE,FALSE,TRUE,1,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,A,10,500,NA,0.076
22,TRUE,FALSE,FALSE,1,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,A,10,500,NA,0.02
23,FALSE,TRUE,FALSE,1,1,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,A,5,500,NA,0.087
24,TRUE,FALSE,FALSE,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,N,0,500,0.051,NA
25,TRUE,TRUE,FALSE,0,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,N,0,500,0,NA
26,TRUE,FALSE,TRUE,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,0,500,0,NA
27,FALSE,TRUE,TRUE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,0,500,0,NA
