"","b1","b2","sample_size","hypothesis","beta","size_values","power_values"
"1",TRUE,TRUE,250,"N",0,0.086,NA
"2",TRUE,TRUE,250,"A",10,NA,1
"3",TRUE,FALSE,250,"N",0,0.993,NA
"4",TRUE,FALSE,250,"A",10,NA,1
"5",FALSE,TRUE,250,"N",0,0.998,NA
"6",FALSE,TRUE,250,"A",10,NA,1
"7",TRUE,TRUE,500,"N",0,0.069,NA
"8",TRUE,TRUE,500,"A",10,NA,1
"9",TRUE,FALSE,500,"N",0,0.999,NA
"10",TRUE,FALSE,500,"A",10,NA,1
"11",FALSE,TRUE,500,"N",0,1,NA
"12",FALSE,TRUE,500,"A",10,NA,1
"13",TRUE,TRUE,750,"N",0,0.061,NA
"14",TRUE,TRUE,750,"A",10,NA,1
"15",TRUE,FALSE,750,"N",0,1,NA
"16",TRUE,FALSE,750,"A",10,NA,0.999
"17",FALSE,TRUE,750,"N",0,1,NA
"18",FALSE,TRUE,750,"A",10,NA,1
"19",TRUE,TRUE,1000,"N",0,0.058,NA
"20",TRUE,TRUE,1000,"A",10,NA,1
"21",TRUE,FALSE,1000,"N",0,1,NA
"22",TRUE,FALSE,1000,"A",10,NA,0.999
"23",FALSE,TRUE,1000,"N",0,1,NA
"24",FALSE,TRUE,1000,"A",10,NA,1
