"","X","backdoor","frontdoor","iv","backdoor_true_functional","frontdoor_true_functional","iv_true_functional","b1","b2","f1","f2","f3","i1","i2","i3","i4","hypothesis","beta","sample_size","size","power","se","nonzero_functionals"
"1",6,FALSE,TRUE,NA,1,1,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",10,250,NA,0.975,0.00987420882906575,"Identified functional in wrong model ≠ 0"
"2",6,FALSE,TRUE,NA,1,1,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",10,500,NA,1,0,"Identified functional in wrong model ≠ 0"
"3",6,FALSE,TRUE,NA,1,1,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",10,750,NA,1,0,"Identified functional in wrong model ≠ 0"
"4",6,FALSE,TRUE,NA,1,1,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",10,1000,NA,1,0,"Identified functional in wrong model ≠ 0"
"5",7,TRUE,FALSE,NA,1,1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,"A",10,250,NA,0.496,0.0316217646566412,"Identified functional in wrong model ≠ 0"
"6",7,TRUE,FALSE,NA,1,1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,"A",10,500,NA,0.854,0.015791390059143,"Identified functional in wrong model ≠ 0"
"7",7,TRUE,FALSE,NA,1,1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,"A",10,750,NA,0.969,0.0063286649461004,"Identified functional in wrong model ≠ 0"
"8",7,TRUE,FALSE,NA,1,1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,"A",10,1000,NA,0.995,0.00223047080231955,"Identified functional in wrong model ≠ 0"
"9",8,TRUE,TRUE,NA,1,1,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",10,250,NA,0.792,0.0256699045576722,"Identified functional in wrong model ≠ 0"
"10",8,TRUE,TRUE,NA,1,1,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",10,500,NA,0.966,0.00810481338464989,"Identified functional in wrong model ≠ 0"
"11",8,TRUE,TRUE,NA,1,1,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",10,750,NA,0.998,0.0016313593513795,"Identified functional in wrong model ≠ 0"
"12",8,TRUE,TRUE,NA,1,1,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",10,1000,NA,1,0,"Identified functional in wrong model ≠ 0"
"13",7,FALSE,TRUE,NA,0,1,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",3,250,NA,0.013,0.00716407705151194,"Identified functional in wrong model = 0"
"14",7,FALSE,TRUE,NA,0,1,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",3,500,NA,0.049,0.00965391112451322,"Identified functional in wrong model = 0"
"15",7,FALSE,TRUE,NA,0,1,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",3,750,NA,0.07,0.00931665175908169,"Identified functional in wrong model = 0"
"16",7,FALSE,TRUE,NA,0,1,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",3,1000,NA,0.099,0.00944452222190196,"Identified functional in wrong model = 0"
"17",8,TRUE,FALSE,NA,1,0,NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,"A",10,250,NA,0.0590000000000001,0.0149022146005216,"Identified functional in wrong model = 0"
"18",8,TRUE,FALSE,NA,1,0,NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,"A",10,500,NA,0.053,0.0100190817942564,"Identified functional in wrong model = 0"
"19",8,TRUE,FALSE,NA,1,0,NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,"A",10,750,NA,0.055,0.00832466215530697,"Identified functional in wrong model = 0"
"20",8,TRUE,FALSE,NA,1,0,NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,"A",10,1000,NA,0.0590000000000001,0.00745110730026082,"Identified functional in wrong model = 0"
