"","X","backdoor","frontdoor","iv","backdoor_true_functional","frontdoor_true_functional","iv_true_functional","b1","b2","f1","f2","f3","i1","i2","i3","i4","hypothesis","beta","sample_size","size","power","se","nonzero_functionals"
"1",4,FALSE,TRUE,NA,1,0,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,250,0.065,NA,0.0155916644396934,"Identified functional in wrong model ≠ 0"
"2",4,FALSE,TRUE,NA,1,0,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,500,0.05,NA,0.00974679434480896,"Identified functional in wrong model ≠ 0"
"3",4,FALSE,TRUE,NA,1,0,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,750,0.055,NA,0.00832466215530697,"Identified functional in wrong model ≠ 0"
"4",4,FALSE,TRUE,NA,1,0,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,1000,0.044,NA,0.00648567652600714,"Identified functional in wrong model ≠ 0"
"5",3,TRUE,FALSE,NA,0,1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,"N",0,250,0.053,NA,0.0141691213559628,"Identified functional in wrong model ≠ 0"
"6",3,TRUE,FALSE,NA,0,1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,"N",0,500,0.068,NA,0.0112584190719657,"Identified functional in wrong model ≠ 0"
"7",3,TRUE,FALSE,NA,0,1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,"N",0,750,0.048,NA,0.0078056389872963,"Identified functional in wrong model ≠ 0"
"8",3,TRUE,FALSE,NA,0,1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,"N",0,1000,0.054,NA,0.00714730718522718,"Identified functional in wrong model ≠ 0"
"9",2,FALSE,TRUE,NA,0,0,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,250,0.004,NA,0.00399199198395989,"Identified functional in wrong model = 0"
"10",2,FALSE,TRUE,NA,0,0,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,500,0,NA,0,"Identified functional in wrong model = 0"
"11",2,FALSE,TRUE,NA,0,0,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,750,0,NA,0,"Identified functional in wrong model = 0"
"12",2,FALSE,TRUE,NA,0,0,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,1000,0.001,NA,0.000999499874937461,"Identified functional in wrong model = 0"
"13",3,TRUE,FALSE,NA,0,0,NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,"N",0,250,0.001,NA,0.00199899974987492,"Identified functional in wrong model = 0"
"14",3,TRUE,FALSE,NA,0,0,NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,"N",0,500,0,NA,0,"Identified functional in wrong model = 0"
"15",3,TRUE,FALSE,NA,0,0,NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,"N",0,750,0,NA,0,"Identified functional in wrong model = 0"
"16",3,TRUE,FALSE,NA,0,0,NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,"N",0,1000,0,NA,0,"Identified functional in wrong model = 0"
"17",1,TRUE,TRUE,NA,0,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,250,0,NA,0,"Identified functional in wrong model = 0"
"18",1,TRUE,TRUE,NA,0,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,500,0,NA,0,"Identified functional in wrong model = 0"
"19",1,TRUE,TRUE,NA,0,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,750,0,NA,0,"Identified functional in wrong model = 0"
"20",1,TRUE,TRUE,NA,0,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,1000,0,NA,0,"Identified functional in wrong model = 0"
