"","X","backdoor","frontdoor","iv","backdoor_true_functional","frontdoor_true_functional","iv_true_functional","b1","b2","f1","f2","f3","i1","i2","i3","i4","hypothesis","beta","sample_size","size","power","se","nonzero_functionals"
"1",6,FALSE,NA,TRUE,1,NA,1,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,0.95,0.0137840487520902,"Identified functional in wrong model ≠ 0"
"2",6,FALSE,NA,TRUE,1,NA,1,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,0.988,0.00486949689393063,"Identified functional in wrong model ≠ 0"
"3",6,FALSE,NA,TRUE,1,NA,1,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,0.988,0.00397592756473254,"Identified functional in wrong model ≠ 0"
"4",6,FALSE,NA,TRUE,1,NA,1,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,0.991,0.00298646948753876,"Identified functional in wrong model ≠ 0"
"5",5,TRUE,NA,FALSE,1,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"A",10,250,NA,1,0,"Identified functional in wrong model ≠ 0"
"6",5,TRUE,NA,FALSE,1,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"A",10,500,NA,1,0,"Identified functional in wrong model ≠ 0"
"7",5,TRUE,NA,FALSE,1,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"A",10,750,NA,1,0,"Identified functional in wrong model ≠ 0"
"8",5,TRUE,NA,FALSE,1,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"A",10,1000,NA,1,0,"Identified functional in wrong model ≠ 0"
"9",8,TRUE,NA,TRUE,1,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,1,0,"Identified functional in wrong model ≠ 0"
"10",8,TRUE,NA,TRUE,1,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,1,0,"Identified functional in wrong model ≠ 0"
"11",8,TRUE,NA,TRUE,1,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,1,0,"Identified functional in wrong model ≠ 0"
"12",8,TRUE,NA,TRUE,1,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,1,0,"Identified functional in wrong model ≠ 0"
"13",7,FALSE,NA,TRUE,0,NA,1,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,0.458,0.0315110139475073,"Identified functional in wrong model = 0"
"14",7,FALSE,NA,TRUE,0,NA,1,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,0.398,0.0218904545407353,"Identified functional in wrong model = 0"
"15",7,FALSE,NA,TRUE,0,NA,1,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,0.441,0.0181298648643612,"Identified functional in wrong model = 0"
"16",7,FALSE,NA,TRUE,0,NA,1,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,0.436,0.0156813264745046,"Identified functional in wrong model = 0"
"17",8,TRUE,NA,FALSE,1,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"A",5,250,NA,0.05,0.0137840487520902,"Identified functional in wrong model = 0"
"18",8,TRUE,NA,FALSE,1,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"A",10,500,NA,0.058,0.0104533248299285,"Identified functional in wrong model = 0"
"19",8,TRUE,NA,FALSE,1,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"A",10,750,NA,0.055,0.00832466215530697,"Identified functional in wrong model = 0"
"20",8,TRUE,NA,FALSE,1,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"A",10,1000,NA,0.05,0.00689202437604511,"Identified functional in wrong model = 0"
