"","X","backdoor","frontdoor","iv","backdoor_true_functional","frontdoor_true_functional","iv_true_functional","b1","b2","f1","f2","f3","i1","i2","i3","i4","hypothesis","beta","sample_size","size","power","se","nonzero_functionals"
"1",3,FALSE,NA,TRUE,1,NA,0,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,250,0.051,NA,0.0139138779641048,"Identified functional in wrong model ≠ 0"
"2",3,FALSE,NA,TRUE,1,NA,0,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,500,0.054,NA,0.0101078187557949,"Identified functional in wrong model ≠ 0"
"3",3,FALSE,NA,TRUE,1,NA,0,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,750,0.044,NA,0.00748901417633411,"Identified functional in wrong model ≠ 0"
"4",3,FALSE,NA,TRUE,1,NA,0,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0.045,NA,0.00655553201502365,"Identified functional in wrong model ≠ 0"
"5",11,TRUE,NA,FALSE,0,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,"N",0,250,0.074,NA,0.0165558448893435,"Identified functional in wrong model ≠ 0"
"6",11,TRUE,NA,FALSE,0,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,"N",0,500,0.071,NA,0.0114855561467436,"Identified functional in wrong model ≠ 0"
"7",11,TRUE,NA,FALSE,0,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,"N",0,750,0.051,NA,0.00803318118804748,"Identified functional in wrong model ≠ 0"
"8",11,TRUE,NA,FALSE,0,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,"N",0,1000,0.049,NA,0.00682634602111554,"Identified functional in wrong model ≠ 0"
"9",2,FALSE,NA,TRUE,0,NA,0,FALSE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,250,0,NA,0,"Identified functional in wrong model = 0"
"10",2,FALSE,NA,TRUE,0,NA,0,FALSE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,500,0,NA,0,"Identified functional in wrong model = 0"
"11",2,FALSE,NA,TRUE,0,NA,0,FALSE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,750,0,NA,0,"Identified functional in wrong model = 0"
"12",2,FALSE,NA,TRUE,0,NA,0,FALSE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0,NA,0,"Identified functional in wrong model = 0"
"13",3,TRUE,NA,FALSE,0,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"N",0,250,0,NA,0,"Identified functional in wrong model = 0"
"14",3,TRUE,NA,FALSE,0,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"N",0,500,0,NA,0,"Identified functional in wrong model = 0"
"15",3,TRUE,NA,FALSE,0,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"N",0,750,0,NA,0,"Identified functional in wrong model = 0"
"16",3,TRUE,NA,FALSE,0,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"N",0,1000,0,NA,0,"Identified functional in wrong model = 0"
"17",1,TRUE,NA,TRUE,0,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,250,0,NA,0,"Identified functional in wrong model = 0"
"18",1,TRUE,NA,TRUE,0,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,500,0,NA,0,"Identified functional in wrong model = 0"
"19",1,TRUE,NA,TRUE,0,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,750,0,NA,0,"Identified functional in wrong model = 0"
"20",1,TRUE,NA,TRUE,0,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0,NA,0,"Identified functional in wrong model = 0"
