"","X","backdoor","frontdoor","iv","backdoor_true_functional","frontdoor_true_functional","iv_true_functional","b1","b2","f1","f2","f3","i1","i2","i3","i4","hypothesis","beta","sample_size","size","power","se","nonzero_functionals"
"1",8,NA,FALSE,TRUE,NA,1,1,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,0.873,0.0210590598080731,"Identified functional in wrong model ≠ 0"
"2",8,NA,FALSE,TRUE,NA,1,1,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,0.997,0.00244581274835176,"Identified functional in wrong model ≠ 0"
"3",8,NA,FALSE,TRUE,NA,1,1,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,1,0,"Identified functional in wrong model ≠ 0"
"4",8,NA,FALSE,TRUE,NA,1,1,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,1,0,"Identified functional in wrong model ≠ 0"
"5",7,NA,TRUE,FALSE,NA,1,1,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"A",10,250,NA,0.977,0.00948071727244306,"Identified functional in wrong model ≠ 0"
"6",7,NA,TRUE,FALSE,NA,1,1,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"A",10,500,NA,0.996,0.00282276460230038,"Identified functional in wrong model ≠ 0"
"7",7,NA,TRUE,FALSE,NA,1,1,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"A",10,750,NA,1,0,"Identified functional in wrong model ≠ 0"
"8",7,NA,TRUE,FALSE,NA,1,1,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"A",10,1000,NA,1,0,"Identified functional in wrong model ≠ 0"
"9",9,NA,TRUE,TRUE,NA,1,1,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,0.977,0.00948071727244306,"Identified functional in wrong model ≠ 0"
"10",9,NA,TRUE,TRUE,NA,1,1,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,0.998,0.00199799899899875,"Identified functional in wrong model ≠ 0"
"11",9,NA,TRUE,TRUE,NA,1,1,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,0.999,0.00115412304370028,"Identified functional in wrong model ≠ 0"
"12",9,NA,TRUE,TRUE,NA,1,1,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,1,0,"Identified functional in wrong model ≠ 0"
"13",7,NA,FALSE,TRUE,NA,0,1,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,0.089,0.0180087756385602,"Identified functional in wrong model = 0"
"14",7,NA,FALSE,TRUE,NA,0,1,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,0.07,0.0114105214604767,"Identified functional in wrong model = 0"
"15",7,NA,FALSE,TRUE,NA,0,1,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,0.0610000000000001,0.00873910750591845,"Identified functional in wrong model = 0"
"16",7,NA,FALSE,TRUE,NA,0,1,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,0.0580000000000001,0.00739161687318817,"Identified functional in wrong model = 0"
"17",8,NA,TRUE,FALSE,NA,1,0,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",5,250,NA,0.04,0.0123935467078637,"Identified functional in wrong model = 0"
"18",8,NA,TRUE,FALSE,NA,1,0,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",5,500,NA,0.049,0.00965391112451322,"Identified functional in wrong model = 0"
"19",8,NA,TRUE,FALSE,NA,1,0,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",5,750,NA,0.046,0.0076493136947049,"Identified functional in wrong model = 0"
"20",8,NA,TRUE,FALSE,NA,1,0,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",5,1000,NA,0.0600000000000001,0.00750999334220744,"Identified functional in wrong model = 0"
