"","X","backdoor","frontdoor","iv","backdoor_true_functional","frontdoor_true_functional","iv_true_functional","b1","b2","f1","f2","f3","i1","i2","i3","i4","hypothesis","beta","sample_size","size","power","se","nonzero_functionals"
"1",6,NA,FALSE,TRUE,NA,1,0,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0.033,NA,0.0112979644184251,"Identified functional in wrong model ≠ 0"
"2",6,NA,FALSE,TRUE,NA,1,0,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0.04,NA,0.00876356092008266,"Identified functional in wrong model ≠ 0"
"3",6,NA,FALSE,TRUE,NA,1,0,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0.047,NA,0.00772795790188672,"Identified functional in wrong model ≠ 0"
"4",6,NA,FALSE,TRUE,NA,1,0,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0.046,NA,0.00662449998113065,"Identified functional in wrong model ≠ 0"
"5",3,NA,TRUE,FALSE,NA,0,1,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"N",0,250,0.05,NA,0.0137840487520902,"Identified functional in wrong model ≠ 0"
"6",3,NA,TRUE,FALSE,NA,0,1,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"N",0,500,0.045,NA,0.00927092228421747,"Identified functional in wrong model ≠ 0"
"7",3,NA,TRUE,FALSE,NA,0,1,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"N",0,750,0.046,NA,0.0076493136947049,"Identified functional in wrong model ≠ 0"
"8",3,NA,TRUE,FALSE,NA,0,1,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"N",0,1000,0.044,NA,0.00648567652600714,"Identified functional in wrong model ≠ 0"
"9",2,NA,FALSE,TRUE,NA,0,0,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0,NA,0,"Identified functional in wrong model = 0"
"10",2,NA,FALSE,TRUE,NA,0,0,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0,NA,0,"Identified functional in wrong model = 0"
"11",2,NA,FALSE,TRUE,NA,0,0,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0,NA,0,"Identified functional in wrong model = 0"
"12",2,NA,FALSE,TRUE,NA,0,0,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0,NA,0,"Identified functional in wrong model = 0"
"13",3,NA,TRUE,FALSE,NA,0,0,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,250,0.001,NA,0.00199899974987492,"Identified functional in wrong model = 0"
"14",3,NA,TRUE,FALSE,NA,0,0,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,500,0.002,NA,0.00199799899899875,"Identified functional in wrong model = 0"
"15",3,NA,TRUE,FALSE,NA,0,0,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,750,0.006,NA,0.00281992907712233,"Identified functional in wrong model = 0"
"16",3,NA,TRUE,FALSE,NA,0,0,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,1000,0.009,NA,0.00298646948753876,"Identified functional in wrong model = 0"
"17",1,NA,TRUE,TRUE,NA,0,0,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0,NA,0,"Identified functional in wrong model = 0"
"18",1,NA,TRUE,TRUE,NA,0,0,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0.002,NA,0.00199799899899875,"Identified functional in wrong model = 0"
"19",1,NA,TRUE,TRUE,NA,0,0,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0,NA,0,"Identified functional in wrong model = 0"
"20",1,NA,TRUE,TRUE,NA,0,0,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0.001,NA,0.000999499874937461,"Identified functional in wrong model = 0"
