"","X","backdoor","frontdoor","iv","backdoor_true_functional","frontdoor_true_functional","iv_true_functional","b1","b2","f1","f2","f3","i1","i2","i3","i4","hypothesis","beta","sample_size","size","power"
"1",4,FALSE,TRUE,NA,1,0,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,250,0.065,NA
"2",5,FALSE,TRUE,NA,0,0,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,250,0.001,NA
"3",4,FALSE,TRUE,NA,1,0,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,500,0.05,NA
"4",5,FALSE,TRUE,NA,0,0,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,500,0,NA
"5",4,FALSE,TRUE,NA,1,0,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,750,0.055,NA
"6",5,FALSE,TRUE,NA,0,0,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,750,0,NA
"7",4,FALSE,TRUE,NA,1,0,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,1000,0.044,NA
"8",5,FALSE,TRUE,NA,0,0,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,1000,0,NA
"9",10,FALSE,TRUE,NA,0,1,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",3,250,NA,0.106
"10",10,FALSE,TRUE,NA,0,1,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",3,500,NA,0.172
"11",10,FALSE,TRUE,NA,0,1,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",3,750,NA,0.187
"12",10,FALSE,TRUE,NA,0,1,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",3,1000,NA,0.227
"13",6,FALSE,TRUE,NA,1,1,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",10,250,NA,0.975
"14",6,FALSE,TRUE,NA,1,1,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",10,500,NA,1
"15",6,FALSE,TRUE,NA,1,1,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",10,750,NA,1
"16",6,FALSE,TRUE,NA,1,1,NA,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",10,1000,NA,1
"17",2,TRUE,FALSE,NA,0,0,NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,"N",0,250,0,NA
"18",2,TRUE,FALSE,NA,0,0,NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,"N",0,500,0,NA
"19",2,TRUE,FALSE,NA,0,0,NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,"N",0,750,0,NA
"20",2,TRUE,FALSE,NA,0,0,NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,"N",0,1000,0,NA
"21",9,TRUE,FALSE,NA,1,0,NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,"A",10,250,NA,0.056
"22",9,TRUE,FALSE,NA,1,0,NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,"A",10,500,NA,0.043
"23",9,TRUE,FALSE,NA,1,0,NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,"A",10,750,NA,0.046
"24",9,TRUE,FALSE,NA,1,0,NA,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,"A",10,1000,NA,0.049
"25",3,TRUE,FALSE,NA,0,1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,"N",0,250,0.053,NA
"26",3,TRUE,FALSE,NA,0,1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,"N",0,500,0.068,NA
"27",3,TRUE,FALSE,NA,0,1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,"N",0,750,0.048,NA
"28",3,TRUE,FALSE,NA,0,1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,"N",0,1000,0.054,NA
"29",7,TRUE,FALSE,NA,1,1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,"A",10,250,NA,0.496
"30",7,TRUE,FALSE,NA,1,1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,"A",10,500,NA,0.854
"31",7,TRUE,FALSE,NA,1,1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,"A",10,750,NA,0.969
"32",7,TRUE,FALSE,NA,1,1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,"A",10,1000,NA,0.995
"33",1,TRUE,TRUE,NA,0,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,250,0,NA
"34",1,TRUE,TRUE,NA,0,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,500,0,NA
"35",1,TRUE,TRUE,NA,0,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,750,0.002,NA
"36",1,TRUE,TRUE,NA,0,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"N",0,1000,0,NA
"37",8,TRUE,TRUE,NA,1,1,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",10,250,NA,0.792
"38",8,TRUE,TRUE,NA,1,1,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",10,500,NA,0.966
"39",8,TRUE,TRUE,NA,1,1,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",10,750,NA,0.998
"40",8,TRUE,TRUE,NA,1,1,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,"A",10,1000,NA,1
