"","X","backdoor","frontdoor","iv","backdoor_true_functional","frontdoor_true_functional","iv_true_functional","b1","b2","f1","f2","f3","i1","i2","i3","i4","hypothesis","beta","sample_size","size","power"
"1",5,FALSE,NA,TRUE,1,NA,0,FALSE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,250,0.006,NA
"2",5,FALSE,NA,TRUE,1,NA,0,FALSE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,500,0.016,NA
"3",5,FALSE,NA,TRUE,1,NA,0,FALSE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,750,0.014,NA
"4",5,FALSE,NA,TRUE,1,NA,0,FALSE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0.031,NA
"5",8,FALSE,NA,TRUE,1,NA,1,FALSE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,1
"6",8,FALSE,NA,TRUE,1,NA,1,FALSE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,1
"7",8,FALSE,NA,TRUE,1,NA,1,FALSE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,1
"8",8,FALSE,NA,TRUE,1,NA,1,FALSE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,1
"9",4,FALSE,NA,TRUE,1,NA,0,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,250,0.018,NA
"10",4,FALSE,NA,TRUE,1,NA,0,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,500,0.039,NA
"11",4,FALSE,NA,TRUE,1,NA,0,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,750,0.046,NA
"12",4,FALSE,NA,TRUE,1,NA,0,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0.04,NA
"13",7,FALSE,NA,TRUE,1,NA,1,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,1
"14",7,FALSE,NA,TRUE,1,NA,1,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,1
"15",7,FALSE,NA,TRUE,1,NA,1,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,1
"16",7,FALSE,NA,TRUE,1,NA,1,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,1
"17",2,TRUE,NA,FALSE,0,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"N",0,250,0,NA
"18",2,TRUE,NA,FALSE,0,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"N",0,500,0,NA
"19",2,TRUE,NA,FALSE,0,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"N",0,750,0,NA
"20",2,TRUE,NA,FALSE,0,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"N",0,1000,0,NA
"21",6,TRUE,NA,FALSE,1,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"A",10,250,NA,0.672
"22",6,TRUE,NA,FALSE,1,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"A",10,500,NA,0.936
"23",6,TRUE,NA,FALSE,1,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"A",10,750,NA,0.991
"24",6,TRUE,NA,FALSE,1,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,"A",10,1000,NA,1
"25",1,TRUE,NA,TRUE,0,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,250,0,NA
"26",1,TRUE,NA,TRUE,0,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,500,0,NA
"27",1,TRUE,NA,TRUE,0,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,750,0,NA
"28",1,TRUE,NA,TRUE,0,NA,0,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0,NA
"29",9,TRUE,NA,TRUE,1,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,1
"30",9,TRUE,NA,TRUE,1,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,1
"31",9,TRUE,NA,TRUE,1,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,1
"32",9,TRUE,NA,TRUE,1,NA,1,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,1
