"","X","backdoor","frontdoor","iv","backdoor_true_functional","frontdoor_true_functional","iv_true_functional","b1","b2","f1","f2","f3","i1","i2","i3","i4","hypothesis","beta","sample_size","size","power"
"1",6,NA,FALSE,TRUE,NA,0,0,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0,NA
"2",6,NA,FALSE,TRUE,NA,0,0,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0,NA
"3",6,NA,FALSE,TRUE,NA,0,0,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0.001,NA
"4",6,NA,FALSE,TRUE,NA,0,0,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0,NA
"5",11,NA,FALSE,TRUE,NA,0,1,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,0.0590000000000001
"6",11,NA,FALSE,TRUE,NA,0,1,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,0.0570000000000001
"7",11,NA,FALSE,TRUE,NA,0,1,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,0.054
"8",11,NA,FALSE,TRUE,NA,0,1,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,0.0590000000000001
"9",7,NA,FALSE,TRUE,NA,1,0,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0.01,NA
"10",7,NA,FALSE,TRUE,NA,1,0,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0.023,NA
"11",7,NA,FALSE,TRUE,NA,1,0,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0.031,NA
"12",7,NA,FALSE,TRUE,NA,1,0,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0.026,NA
"13",9,NA,FALSE,TRUE,NA,1,1,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,0.979
"14",9,NA,FALSE,TRUE,NA,1,1,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,1
"15",9,NA,FALSE,TRUE,NA,1,1,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,1
"16",9,NA,FALSE,TRUE,NA,1,1,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,1
"17",2,NA,TRUE,FALSE,NA,0,1,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"N",0,250,0.026,NA
"18",2,NA,TRUE,FALSE,NA,0,1,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"N",0,500,0.03,NA
"19",2,NA,TRUE,FALSE,NA,0,1,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"N",0,750,0.038,NA
"20",2,NA,TRUE,FALSE,NA,0,1,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"N",0,1000,0.037,NA
